apparition	ghost	phantom
diddy	puffdaddy	puffy
augustus	caesaraugustus	gaiusoctavius
earth	globe	planetearth
frontman	leadvocalist	leadvocals
gallons	gallon	usgal
host	presenter	tvhost
mentalillness	psychiatricdisorders	psychiatricillness
distilledbeverage	liquor	spirits
cephas	peter	petrus
cheikh	shaikh	shaykh
dairycattle	dairycow
cardiacarrhythmias	dysrhythmia
handbag	purse
lbj	lyndonbainesjohnson
kingzheng	yingzheng
ab	bachelor
mommy	mum
faerie	fey
presidenttheodoreroosevelt	theodoreroosevelt
pepticulcerdisease	pepticulcer
spaceshuttleprogram	spaceshuttle
hungarians	magyars
headmaster	principal
feliscatus	housecat
floodmyth	flood
shortfilms	shortsubject
federalreserve	fed
migraineheadaches	migraine
madhatter	themadhatter
empirecity	newyork
complainant	plaintiff
audiocassette	compactcassette
castellano	spanishlanguage
attentiondeficitdisorder	attentiondeficithyperactivitydisorder
californiaangels	losangelesangels
adrenaline	epinephrine
georgegershwin	gershwin
athene	pallasathena
infantileparalysis	poliomyelitis
epilepticseizure	seizures
pennstate	pennsylvaniastateuniversity
whitsunday	whit
twintowers	worldtradecenter
americansouth	southernunitedstates
josephstalin	stalin
alcoholdependence	alcoholism
cop	policeofficer
schweiz	switzerland
angelus	twilight
omar	umar
mixingconsole	mixingdesk
universalcitystudios	universalstudios
rachmaninoff	rachmaninov
norwegianparliament	stortinget
itching	pruritus
iranianrevolution	islamicrevolution
nabataeans	nabatean
airdisaster	planecrash
ltyrosine	tyr
verizoncommunications	verizon
shortton	ton
generalelectric	ge
londonheathrowairport	londonheathrow
business	firm
paul	sirpaulmccartney
unitedstatesconstitution	usconstitution
microsoftcorporation	microsoft
reptiles	reptile
televisionadvertisement	televisioncommercial
plantae	plant
actionfilm	action
tedkennedy	ted
hog	sus
chicagotribune	tribune
causticsoda	lye
bowser	koopa
swedishlanguage	swedish
factory	manufactory
brucebanner	hulk
consumption	tuberculosis
mandal	taluk
canadianbroadcastingcorporation	cbc
netherlands	thenetherlands
dwighteisenhower	presidenteisenhower
inflammatoryboweldiseases	inflammatoryboweldisease
chapelhill	unc
elvis	theking
thessalonica	thessaloniki
edema	oedema
londonstockexchange	lse
pullover	sweater
